

Comarca,Participació,Abstenció,C's,JUNTSxCAT,ERC-Cat Sí,PSC,Cat Comú - Podem,CUP,PP,Altres 
Alt Camp,82.24,17.76,19.81,30.96,25.15,9.64,4.30,5.46,3.38,0.87
Alt Empordà,78.66,21.34,24.69,30.66,22.25,8.66,3.93,4.61,3.77,0.89
Alt Penedès,84.28,15.72,17.58,30.22,25.38,10.32,5.76,6.38,3.00,0.91
Alt Urgell,77.51,22.49,15.42,34.27,26.26,9.54,3.53,5.72,4.14,0.61
Alta Ribagorça,80.02,19.98,15.54,25.05,26.92,14.03,7.12,7.56,2.52,0.91
Anoia,82.77,17.23,24.63,24.70,22.34,12.40,6.25,4.61,3.31,1.23
Aran,74.52,25.48,33.40,14.45,12.94,19.83,6.78,3.33,7.29,1.28
Bages,82.65,17.35,18.94,31.30,24.58,10.41,5.14,5.27,3.05,0.80
Baix Camp,81.37,18.63,30.19,22.44,21.51,10.96,4.75,4.25,4.43,1.03
Baix Ebre,77.90,22.10,15.25,28.44,33.36,9.08,4.49,3.98,4.21,0.51
Baix Empordà,80.55,19.45,20.65,34.47,22.64,9.59,4.08,4.68,2.65,0.80
Baix Llobregat,83.21,16.79,31.65,11.34,18.79,19.27,9.70,3.05,4.25,1.53
Baix Penedès,77.63,22.37,32.44,16.61,19.47,15.09,6.80,3.48,4.32,1.40
Barcelonès,80.80,19.20,26.41,16.63,19.57,16.18,9.42,4.62,5.59,1.16
Berguedà,83.32,16.68,9.52,42.93,27.74,6.18,2.94,7.32,2.48,0.42
Cerdanya,80.07,19.93,18.76,35.73,26.05,6.58,2.85,5.33,3.41,0.82
Conca de Barberà,84.61,15.39,10.88,39.93,30.05,6.88,3.04,5.61,2.39,0.64
Garraf,80.75,19.25,28.07,18.33,21.68,14.33,7.73,4.98,3.30,1.24
Garrigues,83.03,16.97,9.34,41.61,31.11,5.53,2.92,5.46,3.05,0.45
Garrotxa,83.63,16.37,10.01,48.65,23.27,5.93,2.95,6.14,2.11,0.48
Gironès,83.25,16.75,18.40,38.41,20.34,8.60,3.88,6.55,2.55,0.83
Maresme,83.08,16.92,24.50,24.91,23.05,11.88,6.31,4.39,3.51,1.07
Moianès,85.24,14.76,10.46,39.32,29.82,5.90,3.68,8.15,1.73,0.56
Montsià,78.71,21.29,16.84,22.45,36.06,10.04,4.98,3.77,4.76,0.42
Noguera,81.90,18.10,12.79,37.00,30.19,6.85,2.67,4.71,4.63,0.58
Osona,85.65,14.35,11.51,46.14,24.90,5.86,2.94,5.92,1.82,0.45
Pallars Jussà,79.63,20.37,10.97,40.29,26.48,8.20,3.82,6.46,2.74,0.46
Pallars Sobirà,82.71,17.29,6.90,35.21,33.57,6.35,3.15,11.22,2.10,0.80
Pla d'Urgell,82.24,17.76,12.14,41.58,27.40,6.99,2.88,4.36,3.57,0.56
Pla de l'Estany,86.18,13.82,8.16,51.39,23.67,4.15,2.55,7.12,2.00,0.49
Priorat,88.06,11.94,6.94,37.53,34.66,6.29,2.66,8.72,2.20,0.47
Ribera d'Ebre,83.44,16.56,11.36,31.55,35.44,8.36,3.79,5.02,3.41,0.51
Ripollès,84.90,15.10,11.98,45.61,24.24,7.01,3.00,4.90,2.24,0.46
Segarra,83.69,16.31,13.44,38.83,26.96,6.49,2.99,6.16,3.91,0.67
Segrià,79.66,20.34,21.56,26.66,24.97,10.88,4.64,4.37,5.44,0.96
Selva,80.43,19.57,23.48,31.67,20.29,10.36,5.31,4.32,3.08,1.07
Solsonès,83.63,16.37,10.95,39.51,29.90,5.38,2.86,7.06,3.18,0.59
Tarragonès,80.61,19.39,35.91,15.39,18.02,14.01,6.34,3.27,5.36,1.30
Terra Alta,84.04,15.96,14.09,30.58,30.55,8.48,3.93,5.01,6.27,0.27
Urgell,81.95,18.05,12.22,38.92,29.47,5.97,3.09,5.77,3.41,0.45
Vallès Occidental,83.36,16.64,29.13,16.88,19.95,15.45,9.02,4.01,3.67,1.41
Vallès Oriental,83.49,16.51,25.93,21.04,22.20,13.93,7.49,4.25,3.46,1.23
No comarcalitzats (2),12.03,87.97,21.11,26.59,21.56,10.58,8.33,5.74,4.46,1.19
Catalunya,79.09,20.91,25.35,21.66,21.38,13.86,7.46,4.46,4.24,1.13
Metropolità,82.16,17.84,27.62,16.95,20.07,15.97,8.92,4.17,4.60,1.27
Comarques Gironines,81.54,18.46,19.56,36.65,21.63,8.68,4.07,5.31,2.82,0.83
Camp de Tarragona,81.36,18.64,30.62,20.95,20.84,12.02,5.35,4.05,4.64,1.12
Terres de l'Ebre,79.34,20.66,15.22,26.82,34.43,9.29,4.53,4.12,4.45,0.46
Ponent,80.82,19.18,17.46,32.20,26.74,8.95,3.88,4.72,4.72,0.78
Comarques Centrals,83.99,16.01,14.50,38.89,25.36,7.88,3.92,5.88,2.50,0.60
Alt Pirineu i Aran,78.78,21.22,16.77,32.86,25.38,9.77,3.98,6.14,3.79,0.75
Penedès,81.38,18.62,25.73,22.18,22.27,13.10,6.73,4.92,3.43,1.20
Barcelona,79.32,20.68,26.43,19.00,20.63,15.15,8.42,4.37,4.35,1.22
Girona,79.16,20.84,19.51,36.67,21.71,8.62,4.04,5.32,2.85,0.83
Lleida,77.11,22.89,16.97,32.48,26.72,9.04,3.91,5.04,4.52,0.76
Tarragona,78.41,21.59,27.35,21.74,23.73,11.77,5.35,4.00,4.57,1.00

