Municipi,Municipi forma indexada,Cap de municipi,Cap de municipi indexada,Codi municipi,Codi municipi INE,Comarca,Codi comarca,Abreviatura comarca,Província,Codi província,UTM X,UTM Y,Longitud,Latitud,Georeferència
Arnes,Arnes,Arnes,Arnes,430189,43018,Terra Alta,37,TAL,Tarragona,43,269280,4532397,0.260519691,40.910152571,POINT (0.260519691 40.910152571)
Banyoles,Banyoles,Banyoles,Banyoles,170157,17015,Pla de l'Estany,28,PES,Girona,17,480474,4662727,2.763796776,42.116399088,POINT (2.763796776 42.116399088)
Santa Perpètua de Mogoda,Santa Perpètua de Mogoda,Santa Perpètua de Mogoda,Santa Perpètua de Mogoda,082606,08260,Vallès Occidental,40,VOC,Barcelona,08,431884,4598425,2.183444726,41.534575829,POINT (2.183444726 41.534575829)
Santa Llogaia d'Àlguema,Santa Llogaia d'Àlguema,Santa Llogaia d'Àlguema,Santa Llogaia d'Àlguema,171827,17182,Alt Empordà,02,AEM,Girona,17,496132,4675759,2.953125695,42.234004988,POINT (2.953125695 42.234004988)
Olius,Olius,el Pi de Sant Just,"Pi de Sant Just, el",251517,25151,Solsonès,35,SOL,Lleida,25,380443,4648268,1.556913968,41.977346272,POINT (1.556913968 41.977346272)
Barbens,Barbens,Barbens,Barbens,250411,25041,Pla d'Urgell,27,PUR,Lleida,25,335060,4616058,1.018365545,41.679218887,POINT (1.018365545 41.679218887)
Das,Das,Das,Das,170617,17061,Cerdanya,15,CER,Girona,17,406957,4690546,1.870114118,42.361620403,POINT (1.870114118 42.361620403)
Vilaller,Vilaller,Vilaller,Vilaller,252458,25245,Alta Ribagorça,05,ARI,Lleida,25,312357,4705197,0.717205843,42.476393315,POINT (0.717205843 42.476393315)
Sudanell,Sudanell,Sudanell,Sudanell,252115,25211,Segrià,33,SGR,Lleida,25,297118,4603527,0.56712494,41.557691349,POINT (0.56712494 41.557691349)
Sant Llorenç d'Hortons,Sant Llorenç d'Hortons,Sant Llorenç d'Hortons,Sant Llorenç d'Hortons,082227,08222,Alt Penedès,03,APE,Barcelona,08,401833,4591363,1.824413228,41.467858768,POINT (1.824413228 41.467858768)
Arenys de Mar,Arenys de Mar,Arenys de Mar,Arenys de Mar,080060,08006,Maresme,21,MAR,Barcelona,08,462623,4603191,2.551624094,41.579533962,POINT (2.551624094 41.579533962)
Olvan,Olvan,Olvan,Olvan,081445,08144,Berguedà,14,BER,Barcelona,08,409558,4656683,1.906973539,42.056997671,POINT (1.906973539 42.056997671)
Agramunt,Agramunt,Agramunt,Agramunt,250030,25003,Urgell,38,URG,Lleida,25,342006,4627871,1.098635444,41.786969835,POINT (1.098635444 41.786969835)
Llinars del Vallès,Llinars del Vallès,Llinars del Vallès,Llinars del Vallès,081069,08106,Vallès Oriental,41,VOR,Barcelona,08,450414,4609884,2.404620012,41.639151852,POINT (2.404620012 41.639151852)
Borredà,Borredà,Borredà,Borredà,080240,08024,Berguedà,14,BER,Barcelona,08,416861,4665326,1.993986452,42.135636365,POINT (1.993986452 42.135636365)
la Guingueta d'Àneu,"Guingueta d'Àneu, la",la Guingueta d'Àneu,"Guingueta d'Àneu, la",259031,25903,Pallars Sobirà,26,PSO,Lleida,25,346741,4717455,1.131988036,42.594296717,POINT (1.131988036 42.594296717)
