"","C.s","JUNTSxCAT","ERC.Cat.Sí","PSC","Cat.Comú...Podem","CUP","PP","Altres"
"Alt Camp",19.81,30.96,25.15,9.64,4.3,5.46,3.38,0.87
"Alt Empordà",24.69,30.66,22.25,8.66,3.93,4.61,3.77,0.89
"Alt Penedès",17.58,30.22,25.38,10.32,5.76,6.38,3,0.91
"Alt Urgell",15.42,34.27,26.26,9.54,3.53,5.72,4.14,0.61
"Alta Ribagorça",15.54,25.05,26.92,14.03,7.12,7.56,2.52,0.91
"Anoia",24.63,24.7,22.34,12.4,6.25,4.61,3.31,1.23
"Aran",33.4,14.45,12.94,19.83,6.78,3.33,7.29,1.28
"Bages",18.94,31.3,24.58,10.41,5.14,5.27,3.05,0.8
"Baix Camp",30.19,22.44,21.51,10.96,4.75,4.25,4.43,1.03
"Baix Ebre",15.25,28.44,33.36,9.08,4.49,3.98,4.21,0.51
"Baix Empordà",20.65,34.47,22.64,9.59,4.08,4.68,2.65,0.8
"Baix Llobregat",31.65,11.34,18.79,19.27,9.7,3.05,4.25,1.53
"Baix Penedès",32.44,16.61,19.47,15.09,6.8,3.48,4.32,1.4
"Barcelonès",26.41,16.63,19.57,16.18,9.42,4.62,5.59,1.16
"Berguedà",9.52,42.93,27.74,6.18,2.94,7.32,2.48,0.42
"Cerdanya",18.76,35.73,26.05,6.58,2.85,5.33,3.41,0.82
"Conca de Barberà",10.88,39.93,30.05,6.88,3.04,5.61,2.39,0.64
"Garraf",28.07,18.33,21.68,14.33,7.73,4.98,3.3,1.24
"Garrigues",9.34,41.61,31.11,5.53,2.92,5.46,3.05,0.45
"Garrotxa",10.01,48.65,23.27,5.93,2.95,6.14,2.11,0.48
"Gironès",18.4,38.41,20.34,8.6,3.88,6.55,2.55,0.83
"Maresme",24.5,24.91,23.05,11.88,6.31,4.39,3.51,1.07
"Moianès",10.46,39.32,29.82,5.9,3.68,8.15,1.73,0.56
"Montsià",16.84,22.45,36.06,10.04,4.98,3.77,4.76,0.42
"Noguera",12.79,37,30.19,6.85,2.67,4.71,4.63,0.58
"Osona",11.51,46.14,24.9,5.86,2.94,5.92,1.82,0.45
"Pallars Jussà",10.97,40.29,26.48,8.2,3.82,6.46,2.74,0.46
"Pallars Sobirà",6.9,35.21,33.57,6.35,3.15,11.22,2.1,0.8
"Pla d'Urgell",12.14,41.58,27.4,6.99,2.88,4.36,3.57,0.56
"Pla de l'Estany",8.16,51.39,23.67,4.15,2.55,7.12,2,0.49
"Priorat",6.94,37.53,34.66,6.29,2.66,8.72,2.2,0.47
"Ribera d'Ebre",11.36,31.55,35.44,8.36,3.79,5.02,3.41,0.51
"Ripollès",11.98,45.61,24.24,7.01,3,4.9,2.24,0.46
"Segarra",13.44,38.83,26.96,6.49,2.99,6.16,3.91,0.67
"Segrià",21.56,26.66,24.97,10.88,4.64,4.37,5.44,0.96
"Selva",23.48,31.67,20.29,10.36,5.31,4.32,3.08,1.07
"Solsonès",10.95,39.51,29.9,5.38,2.86,7.06,3.18,0.59
"Tarragonès",35.91,15.39,18.02,14.01,6.34,3.27,5.36,1.3
"Terra Alta",14.09,30.58,30.55,8.48,3.93,5.01,6.27,0.27
"Urgell",12.22,38.92,29.47,5.97,3.09,5.77,3.41,0.45
"Vallès Occidental",29.13,16.88,19.95,15.45,9.02,4.01,3.67,1.41
"Vallès Oriental",25.93,21.04,22.2,13.93,7.49,4.25,3.46,1.23
