,Unnamed: 0,Longitud,Latitud,Poblacio,Provincia
1,Abrera,1.902237925,41.5162579,12620,3
3,Agramunt,1.098635444,41.786969835,5464,0
20,Alcanar,0.481966932,40.5428638,9579,2
22,Alcarràs,0.524318402,41.562873616,9678,0
24,Alcover,1.170205538,41.262631863,5185,2
28,Alella,2.295144857,41.493840079,9954,3
37,Almacelles,0.436732426,41.731581971,6875,0
44,Alpicat,0.55507915,41.666360775,6274,0
46,Altafulla,1.376896997,41.142272974,5512,2
48,"Ametlla de Mar, l'",0.803501688,40.885248463,7131,2
49,"Ametlla del Vallès, l'",2.261520529,41.66939188,8787,3
51,Amposta,0.581007048,40.713452378,26317,2
52,Anglès,2.637779014,41.956819939,5709,1
55,"Arboç, l'",1.603603923,41.267502585,5625,3
57,Arbúcies,2.513754625,41.816004313,6507,1
58,Arenys de Mar,2.551624094,41.579533962,15942,1
59,Arenys de Munt,2.53916522,41.610949943,9191,1
63,Argentona,2.400515899,41.555644039,12629,3
68,Artés,1.95486944,41.798136994,5782,3
78,Badalona,2.247791638,41.450026028,223006,3
79,Badia del Vallès,2.113905197,41.509030111,13228,3
82,Balaguer,0.804588928,41.789718661,22409,0
86,Banyoles,2.763796776,42.116399088,25168,1
89,Barberà del Vallès,2.124669407,41.515796362,33016,3
90,Barcelona,2.177241106,41.382405393,1641732,3
96,Begues,1.924677961,41.330173965,7356,3
106,Bellpuig,1.012110106,41.625654517,5151,0
113,Berga,1.845845087,42.1037619,21682,3
115,Bescanó,2.743365182,41.965403352,5094,1
118,"Bisbal d'Empordà, la",3.038149687,41.959301158,16190,1
123,Blanes,2.791605671,41.674034609,40274,1
129,"Borges Blanques, les",0.86916301,41.520628499,11195,0
151,Cabrils,2.367716483,41.526223857,7567,3
154,Calafell,1.568712715,41.200955461,28463,3
157,Caldes de Malavella,2.809763769,41.838975945,8051,1
158,Caldes de Montbui,2.162240112,41.634590716,17797,3
159,Calella,2.65721784,41.613271421,19236,1
163,Calonge i Sant Antoni,3.075838423,41.861071844,11484,1
166,Cambrils,1.057802277,41.071033929,35064,2
175,Canet de Mar,2.582425003,41.588484712,14810,1
176,"Canonja, la",1.178965575,41.122908604,5933,2
177,Canovelles,2.276970352,41.621756753,16872,3
183,Capellades,1.685814119,41.530912121,5314,3
186,Cardedeu,2.355346668,41.638291792,18609,3
190,Cassà de la Selva,2.874290931,41.884851215,10505,1
194,Castell-Platja d'Aro,3.067081286,41.817447752,11455,1
198,Castellar del Vallès,2.087635113,41.618557011,24659,3
200,Castellbisbal,1.981226635,41.474875242,12610,3
203,Castelldefels,1.976232924,41.280269457,67226,3
211,Castelló d'Empúries,3.074791957,42.258576569,11154,1
222,Celrà,2.874392042,42.026555381,5606,1
223,Centelles,2.219100119,41.797698485,7595,3
225,Cerdanyola del Vallès,2.140715332,41.491023421,57217,3
226,Cervelló,1.958951323,41.396113524,9233,3
227,Cervera,1.27125747,41.665808322,14328,0
243,Constantí,1.213727473,41.153087277,6724,2
246,Corbera de Llobregat,1.927701004,41.416102388,15017,3
249,Cornellà de Llobregat,2.070159567,41.355171447,89300,3
255,Cubelles,1.672526156,41.208250975,16051,3
257,Cunit,1.634836815,41.198093014,14081,3
260,Deltebre,0.722777588,40.719605167,11539,2
261,Dosrius,2.405853754,41.594675414,5685,3
263,"Escala, l'",3.133767625,42.125058782,10497,1
264,Esparreguera,1.870708537,41.538966192,22358,3
268,Esplugues de Llobregat,2.087992375,41.377697766,46777,3
279,Falset,0.820118665,41.146184992,7724,2
288,Figueres,2.960886614,42.267209601,52043,1
308,"Franqueses del Vallès, les",2.297161105,41.636306728,20351,3
315,Gandesa,0.439107295,41.052083416,8098,2
318,"Garriga, la",2.285838545,41.685307859,16733,3
322,Gavà,2.004774201,41.306118866,46931,3
324,Gelida,1.863167973,41.440928938,7723,3
328,Girona,2.824865628,41.983155443,106932,1
339,Granollers,2.286822072,41.60808662,67475,3
351,Guissona,1.288303003,41.784648383,7291,0
355,"Hospitalet de Llobregat, l'",2.099712098,41.359459666,264657,3
358,Igualada,1.617581375,41.57871621,45875,3
377,"Llagosta, la",2.193612736,41.513120028,13259,3
378,Llagostera,2.891817464,41.828810091,8851,1
384,Lleida,0.626842574,41.614730589,145080,0
387,Lliçà d'Amunt,2.239433257,41.608466785,15673,3
388,Lliçà de Vall,2.239084658,41.58630762,6580,3
390,Llinars del Vallès,2.404620012,41.639151852,10116,3
396,Lloret de Mar,2.847602852,41.698615649,38402,1
400,Maçanet de la Selva,2.731325675,41.776371392,7349,1
405,Malgrat de Mar,2.740742879,41.645501427,18950,1
407,Manlleu,2.283578064,41.999939102,20804,1
408,Manresa,1.826928753,41.723055286,83192,3
412,Martorell,1.930730461,41.474336102,28667,3
420,"Masnou, el",2.319018119,41.479161716,23848,3
423,Masquefa,1.81185265,41.50189427,9623,3
428,Matadepera,2.026747357,41.596641888,9672,3
429,Mataró,2.444896864,41.539809903,134120,3
437,Moià,2.096923027,41.812869119,11474,3
439,Molins de Rei,2.015962183,41.413593959,26104,3
440,Mollerussa,0.894030377,41.629810691,19545,0
442,Mollet del Vallès,2.210310853,41.535411838,51151,3
449,Mont-roig del Camp,0.958121082,41.087304542,12689,2
451,Montblanc,1.161386523,41.376776963,12433,2
453,Montcada i Reixac,2.187770377,41.485795664,36794,3
460,Montgat,2.278681615,41.466945198,12260,3
464,Montmeló,2.247898536,41.551517208,8798,3
468,Montornès del Vallès,2.267313544,41.54526095,16804,3
470,Móra d'Ebre,0.641767088,41.093142922,10585,2
478,Navarcles,1.903759781,41.751626892,6068,3
479,Navàs,1.879336762,41.899840834,5973,3
490,Olesa de Montserrat,1.893900541,41.543505944,24132,3
496,Olot,2.484354623,42.183182657,41299,1
511,Palafolls,2.749412882,41.667246003,9646,1
512,Palafrugell,3.164065976,41.914954578,23046,1
513,Palamós,3.129581349,41.846660808,18196,1
518,Palau-solità i Plegamans,2.178421008,41.58754343,14917,3
520,Pallejà,1.996775252,41.422579897,11636,3
527,Parets del Vallès,2.233577244,41.573165532,18907,3
540,Piera,1.743364446,41.518136198,16411,3
542,Pineda de Mar,2.689529503,41.627522457,27974,1
561,Polinyà,2.156245284,41.55760939,8494,3
565,"Pont de Suert, el",0.740819954,42.407731665,7331,0
579,"Prat de Llobregat, el",2.093044846,41.330736272,65532,3
586,Premià de Dalt,2.34246115,41.507311014,10419,3
587,Premià de Mar,2.35678569,41.489809495,28523,3
591,Puigcerdà,1.926947695,42.432630325,14518,3
608,Reus,1.108491969,41.155016386,111084,2
618,Ripoll,2.19075318,42.201047605,15721,1
619,Ripollet,2.15349201,41.496501631,39139,3
626,Riudoms,1.050870857,41.1376834,6617,2
628,"Roca del Vallès, la",2.325763581,41.587568707,10676,3
630,Roda de Berà,1.456926185,41.186001973,7127,2
631,Roda de Ter,2.309491592,41.980805565,6449,1
633,Roquetes,0.503011157,40.818382488,8159,2
634,Roses,3.174927346,42.263408485,19921,1
637,Rubí,2.031335058,41.493484672,78549,3
641,Sabadell,2.108551925,41.546378033,221204,3
646,Sallent,1.894674687,41.824062842,6717,3
648,Salou,1.133565772,41.081176735,28512,2
649,Salt,2.792056075,41.975053949,32230,1
651,Sant Adrià de Besòs,2.217787409,41.430067423,37283,3
653,Sant Andreu de la Barca,1.971403604,41.449999657,27175,3
654,Sant Andreu de Llavaneres,2.483347205,41.574458666,11150,1
657,Sant Antoni de Vilamajor,2.400660571,41.673569557,6383,3
659,Sant Boi de Llobregat,2.042704219,41.347524275,83755,3
662,Sant Celoni,2.49251912,41.689962987,18176,1
665,Sant Cugat del Vallès,2.082391608,41.469853438,94012,3
669,Sant Esteve Sesrovires,1.874365808,41.493245315,7771,3
671,Sant Feliu de Codines,2.164546597,41.688918231,6406,3
672,Sant Feliu de Guíxols,3.028398912,41.780447696,22210,1
673,Sant Feliu de Llobregat,2.046230144,41.381953246,50463,3
677,Sant Fost de Campsentelles,2.232936617,41.518757192,8997,3
678,Sant Fruitós de Bages,1.87327387,41.750674624,8936,3
682,Sant Hilari Sacalm,2.508315363,41.878843924,5758,1
691,Sant Joan de Vilatorrada,1.804848323,41.745507159,10871,3
692,Sant Joan Despí,2.054954782,41.367821674,34130,3
699,Sant Just Desvern,2.075560984,41.385728278,19379,3
717,Sant Pere de Ribes,1.772114573,41.262303316,31525,3
723,Sant Pol de Mar,2.621160222,41.600222588,5538,1
726,Sant Quirze del Vallès,2.080999131,41.532839537,20156,3
729,Sant Sadurní d'Anoia,1.787300544,41.424211608,12840,3
732,Sant Vicenç de Castellet,1.863615971,41.665552401,9868,3
733,Sant Vicenç de Montalt,2.508766296,41.579019541,6523,1
735,Sant Vicenç dels Horts,2.009712625,41.393336667,28115,3
738,Santa Coloma de Cervelló,2.016180072,41.368972821,8273,3
739,Santa Coloma de Farners,2.662775243,41.861495834,18459,1
740,Santa Coloma de Gramenet,2.207934468,41.452149345,119289,3
742,Santa Cristina d'Aro,2.99689805,41.812072519,5408,1
745,Santa Eulàlia de Ronçana,2.229205451,41.652345584,7538,3
748,Santa Margarida de Montbui,1.608065901,41.57382772,10192,3
749,Santa Margarida i els Monjos,1.663058723,41.321375173,7664,3
755,Santa Maria de Palautordera,2.44609648,41.692987137,9666,1
758,Santa Perpètua de Mogoda,2.183444726,41.534575829,26033,3
760,Santpedor,1.839177662,41.783273365,7566,3
762,Sarrià de Ter,2.825219512,42.017092751,5231,1
769,"Selva del Camp, la",1.136882482,41.215154226,5694,2
771,"Sénia, la",0.285251665,40.633328162,5530,2
774,Sentmenat,2.136193226,41.60925884,9347,3
779,"Seu d'Urgell, la",1.462430747,42.358097618,17252,0
