,Unnamed: 0,Longitud,Latitud,Poblacio,Provincia
0,Abella de la Conca,1.091706045,42.161287097,171,0
1,Abrera,1.902237925,41.5162579,12620,1
2,Àger,0.763537783,41.99921535,588,0
3,Agramunt,1.098635444,41.786969835,5464,0
4,Aguilar de Segarra,1.630963223,41.738929127,286,1
5,Agullana,2.846385617,42.394097857,885,2
6,Aiguafreda,2.249396729,41.768885037,2556,1
7,Aiguamúrcia,1.363104482,41.34655112,960,3
8,Aiguaviva,2.762375415,41.938086424,789,2
9,Aitona,0.458983454,41.494610388,2493,3
10,"Alamús, els",0.738550669,41.61570667,773,3
11,Alàs i Cerc,1.508172662,42.35162992,322,0
12,"Albagés, l'",0.739237187,41.44879641,357,3
13,Albanyà,2.720108023,42.304746628,178,2
14,Albatàrrec,0.605376149,41.573078617,2224,3
15,Albesa,0.659485934,41.750716082,1561,3
16,"Albi, l'",0.936040777,41.423287263,749,3
17,Albinyana,1.486184747,41.245632533,2504,3
18,"Albiol, l'",1.089629618,41.252099849,515,3
19,Albons,3.085200894,42.104246344,798,2
20,Alcanar,0.481966932,40.5428638,9579,3
21,Alcanó,0.617145104,41.480448923,233,3
22,Alcarràs,0.524318402,41.562873616,9678,3
23,Alcoletge,0.694256215,41.647010196,3492,3
24,Alcover,1.170205538,41.262631863,5185,3
25,"Aldea, l'",0.620293809,40.745894216,4160,3
26,Aldover,0.500003865,40.879791715,911,3
27,"Aleixar, l'",1.046140895,41.201640418,912,3
28,Alella,2.295144857,41.493840079,9954,1
29,Alfara de Carles,0.400259187,40.873757773,376,3
30,Alfarràs,0.56965673,41.829992693,2759,3
31,Alfés,0.619339111,41.521417722,301,3
32,Alforja,0.975275129,41.210454848,1843,3
33,Algerri,0.638489583,41.815807085,423,3
34,Alguaire,0.583741122,41.736183765,3065,3
35,Alins,1.318664825,42.548708285,279,0
36,Alió,1.306398395,41.295126206,478,3
37,Almacelles,0.436732426,41.731581971,6875,3
38,Almatret,0.42358212,41.305565568,310,3
39,Almenar,0.567375973,41.79806557,3365,3
40,Almoster,1.113359413,41.198093095,1322,3
41,Alòs de Balaguer,0.960531325,41.912589323,122,0
42,Alp,1.887513138,42.373498188,1645,0
43,Alpens,2.101142098,42.119261415,269,1
44,Alpicat,0.55507915,41.666360775,6274,3
45,Alt Àneu,1.108575263,42.633973639,430,0
46,Altafulla,1.376896997,41.142272974,5512,3
47,Amer,2.603222047,42.009133826,2383,2
48,"Ametlla de Mar, l'",0.803501688,40.885248463,7131,3
49,"Ametlla del Vallès, l'",2.261520529,41.66939188,8787,1
50,"Ampolla, l'",0.714340607,40.814206799,3444,3
51,Amposta,0.581007048,40.713452378,26317,3
52,Anglès,2.637779014,41.956819939,5709,2
53,Anglesola,1.081418917,41.658996965,1356,3
54,Arbeca,0.924966081,41.542238314,2141,3
55,"Arboç, l'",1.603603923,41.267502585,5625,1
56,Arbolí,0.948646721,41.241958857,126,3
57,Arbúcies,2.513754625,41.816004313,6507,2
58,Arenys de Mar,2.551624094,41.579533962,15942,1
59,Arenys de Munt,2.53916522,41.610949943,9191,1
60,Argelaguer,2.641698357,42.213401211,417,2
61,Argençola,1.444155159,41.597531982,220,1
62,"Argentera, l'",0.909320776,41.137218897,126,3
63,Argentona,2.400515899,41.555644039,12629,1
64,"Armentera, l'",3.072517841,42.17086694,998,2
65,Arnes,0.260519691,40.910152571,441,3
66,Arres,0.711147895,42.754979774,67,0
67,Arsèguel,1.582876907,42.350100718,85,0
68,Artés,1.95486944,41.798136994,5782,1
69,Artesa de Lleida,0.703394598,41.551742575,1525,3
70,Artesa de Segre,1.045473965,41.895438373,3441,0
71,Ascó,0.567111344,41.180901343,1611,3
72,Aspa,0.672320658,41.495646828,207,3
73,"Avellanes i Santa Linya, les",0.764299568,41.908109621,447,3
74,Avià,1.82515717,42.077285956,2199,1
75,Avinyó,1.970760811,41.863381428,2286,1
76,Avinyonet de Puigventós,2.915250376,42.249367796,1657,2
77,Avinyonet del Penedès,1.779376543,41.360977135,1701,1
78,Badalona,2.247791638,41.450026028,223006,1
79,Badia del Vallès,2.113905197,41.509030111,13228,1
80,Bagà,1.86260099,42.252852974,2145,0
81,Baix Pallars,1.064357054,42.32360869,342,0
82,Balaguer,0.804588928,41.789718661,22409,3
83,Balenyà,2.235188771,41.815372171,3900,1
84,Balsareny,1.876819518,41.86321312,3278,1
85,Banyeres del Penedès,1.580800344,41.27936622,3280,1
86,Banyoles,2.763796776,42.116399088,25168,2
87,Barbens,1.018365545,41.679218887,943,3
88,Barberà de la Conca,1.227449026,41.41081942,472,3
89,Barberà del Vallès,2.124669407,41.515796362,33016,1
90,Barcelona,2.177241106,41.382405393,1641732,1
91,"Baronia de Rialb, la",1.19618638,41.932177024,229,0
92,Bàscara,2.91017634,42.159561565,1015,2
93,Bassella,1.294293646,42.00590676,224,0
94,Batea,0.310763867,41.094904352,1879,3
95,Bausen,0.716292102,42.834775548,66,0
96,Begues,1.924677961,41.330173965,7356,1
97,Begur,3.20732264,41.954456973,4039,2
98,Belianes,1.017397869,41.56159093,521,3
99,Bell-lloc d'Urgell,0.779505499,41.630022034,2329,3
100,Bellaguarda,0.738299645,41.336780814,292,3
101,Bellcaire d'Empordà,3.094515204,42.081011145,699,2
102,Bellcaire d'Urgell,0.905573979,41.759238896,1225,3
103,Bellmunt d'Urgell,0.952239022,41.773871046,182,3
104,Bellmunt del Priorat,0.765313302,41.163988202,281,3
105,Bellprat,1.434454531,41.517247322,73,3
106,Bellpuig,1.012110106,41.625654517,5151,3
107,Bellvei,1.576455639,41.241343346,2303,1
108,Bellver de Cerdanya,1.774387211,42.37073001,2135,0
109,Bellvís,0.817527266,41.672203636,2258,3
110,Benavent de Segrià,0.634522237,41.694451633,1533,3
111,Benifallet,0.517981377,40.974307959,741,3
112,Benissanet,0.635144854,41.056672313,1129,3
113,Berga,1.845845087,42.1037619,21682,1
114,Besalú,2.699326775,42.198886073,2502,2
115,Bescanó,2.743365182,41.965403352,5094,2
116,Beuda,2.70981115,42.237126861,187,2
117,Biosca,1.358077757,41.841632386,178,0
118,"Bisbal d'Empordà, la",3.038149687,41.959301158,16190,2
119,"Bisbal de Falset, la",0.723326471,41.280225617,218,3
120,"Bisbal del Penedès, la",1.487744296,41.280475727,3830,3
121,Biure,2.895078275,42.338090056,244,2
122,Blancafort,1.159223964,41.437936992,398,3
123,Blanes,2.791605671,41.674034609,40274,2
124,Boadella i les Escaules,2.857547428,42.331087464,271,2
125,Bolvir,1.879863587,42.418480249,489,0
126,Bonastre,1.439913737,41.22061386,727,3
127,"Bòrdes, Es",0.719236909,42.738039379,285,0
128,Bordils,2.911498031,42.044044953,1796,2
129,"Borges Blanques, les",0.86916301,41.520628499,11195,3
130,"Borges del Camp, les",1.019587184,41.172030081,2104,3
131,Borrassà,2.926166502,42.223058847,752,2
132,Borredà,1.993986452,42.135636365,455,1
133,Bossòst,0.691705542,42.783541931,1120,0
134,Bot,0.384843145,41.008964518,566,3
135,Botarell,0.988701528,41.136188139,1094,3
